id,wenzitext,errortext,clicktimes,tips1,tips2
37,满堂花醉三千客，一剑霜寒十四州,7,3,贯休《献钱尚父》,第一句是：满堂花醉三千客
38,空山新雨后，天气晚来秋,5,3,王维《山居秋暝》,第一句是：空山新雨后
39,人间四月芳菲尽，山寺桃花始盛开,7,3,白居易《大林寺桃花》,第一句是：人间四月芳菲尽
40,还君明珠双泪垂，恨不相逢未嫁时,7,3,张籍《节妇吟寄东平李司空师道》,第一句是：还君明珠双泪垂
41,十年磨一剑，霜刃未曾试,5,3,贾岛《剑客》,第一句是：十年磨一剑
42,读书不觉已春深，一寸光阴一寸金,7,3,王贞白《白鹿洞二首·其一》,第一句是：读书不觉已春深
43,年年岁岁花相似，岁岁年年人不同,7,3,刘希夷《代悲白头翁》,第一句是：年年岁岁花相似
44,晚来天欲雪，能饮一杯无,5,3,白居易《问刘十九》,天快黑了大雪将至，能否共饮一杯暖酒
45,海上生明月，天涯共此时,5,3,张九龄《望月怀远》,第一句是：海上生明月
46,寂寞空庭春欲晚，梨花满地不开门,7,3,刘方平《春怨》,第一句是：寂寞空庭春欲晚
47,一骑红尘妃子笑，无人知是荔枝来,7,3,杜牧《过华清宫绝句三首》,第一句是：一骑红尘妃子笑
48,沉舟侧畔千帆过，病树前头万木春,7,3,刘禹锡《酬乐天扬州初逢席上见赠》,第一句是：沉舟侧畔千帆过
49,落霞与孤鹜齐飞，秋水共长天一色,7,3,王勃《滕王阁序》,第一句是：落霞与孤鹜齐飞
50,长风破浪会有时，直挂云帆济沧海,7,3,李白《行路难·其一》,第一句是：长风破浪会有时
51,醉卧沙场君莫笑，古来征战几人回？,8,3,王翰《凉州词》,第一句是：醉卧沙场君莫笑
52,莫愁前路无知己，天下谁人不识君,7,3,高适《别董大二首》,第一句是：莫愁前路无知己
53,花间一壶酒，独酌无相亲,5,3,李白《月下独酌·其一》,第一句是：花间一壶酒
54,相思相见知何日？此时此夜难为情！,8,3,李白《三五七言》,彼此相思彼此挂念，却不知相见是何日
55,昨夜星辰昨夜风，画楼西畔桂堂东,7,3,李商隐《无题二首·其一》,第一句是：昨夜星辰昨夜风
56,莫道桑榆晚，为霞尚满天,5,3,刘禹锡《酬乐天咏老见示》,第一句是：莫道桑榆晚
57,愿得此身长报国，何须生入玉门关,7,3,戴叔伦《塞上曲二首·其二》,第一句是：愿得此身长报国
58,凭君莫话封侯事，一将功成万骨枯,7,3,曹松《己亥岁感事》,第一句是：凭君莫话封侯事
59,春风十里扬州路，卷上珠帘总不如,7,3,杜牧《赠别二首·其一》,第一句是：春风十里扬州路
60,锦瑟无端五十弦，一弦一柱思华年,7,3,李商隐《锦瑟》,第一句是：锦瑟无端五十弦
61,红豆生南国，春来发几枝,5,3,王维《相思》,第一句是：红豆生南国
62,露从今夜白，月是故乡明,5,3,杜甫《月夜忆舍弟》,第一句是：露从今夜白
63,侯门一入深如海，从此萧郎是路人,7,3,崔郊《赠去婢》,第一句是：侯门一入深如海
64,同是天涯沦落人，相逢何必曾相识！,8,3,白居易《琵琶行》,第一句是：同是天涯沦落人
65,他年我若为青帝，报与桃花一处开,7,3,黄巢《题菊花》,第一句是：他年我若为青帝
66,今朝有酒今朝醉，明日愁来明日愁,7,3,罗隐《自遣》,第一句是：今朝有酒今朝醉
67,相见时难别亦难，东风无力百花残,7,3,李商隐《无题·相见时难别亦难》,第一句是：相见时难别亦难
68,无边落木萧萧下，不尽长江滚滚来,7,3,杜甫《登高》,第一句是：无边落木萧萧下
69,夕阳无限好，只是近黄昏,5,3,李商隐《登乐游原》,这夕阳晚景的确十分美好，只不过已接近黄昏
70,白日放歌须纵酒，青春作伴好还乡,7,3,杜甫《闻官军收河南河北》,第一句是：白日放歌须纵酒
71,人闲桂花落，夜静春山空,5,3,王维《鸟鸣涧》,第一句是：人闲桂花落
72,春水碧于天，画船听雨眠,5,3,韦庄《菩萨蛮·人人尽说江南好》,第一句是：春水碧于天
73,思君如满月，夜夜减清辉,5,3,张九龄《赋得自君之出矣》,想念你犹如天边圆月，一夜一夜减弱了光辉
74,天长地久有时尽，此恨绵绵无绝期,7,3,白居易《长恨歌》,第一句是：天长地久有时尽
75,采得百花成蜜后，为谁辛苦为谁甜？,8,3,罗隐《蜂》,第一句是：采得百花成蜜后
76,月落乌啼霜满天，江枫渔火对愁眠,7,3,张继《枫桥夜泊》,第一句是：月落乌啼霜满天
77,射人先射马，擒贼先擒王,5,3,杜甫《前出塞九首·其六》,射人先要射人骑的马，擒贼先要擒住首领
78,东边日出西边雨，道是无晴却有晴,7,3,刘禹锡《竹枝词二首·其一》,就像东方出太阳，西边落雨
79,秋阴不散霜飞晚，留得枯荷听雨声,7,3,李商隐《宿骆氏亭寄怀崔雍崔衮》,第一句是：秋阴不散霜飞晚
80,星垂平野阔，月涌大江流,5,3,杜甫《旅夜书怀》,第一句是：星垂平野阔
81,从此无心爱良夜，任他明月下西楼,7,3,李益《写情》,第一句是：从此无心爱良夜
82,天生我材必有用，千金散尽还复来,7,3,李白《将进酒》,第一句是：天生我材必有用
83,危楼高百尺，手可摘星辰,5,3,李白《夜宿山寺》,第一句是：危楼高百尺
84,十年一觉扬州梦，赢得青楼薄幸名,7,3,杜牧《遣怀》,第一句是：十年一觉扬州梦
85,多情只有春庭月，犹为离人照落花,7,3,张泌《寄人》,只有天上月最是多情，还为离人照着庭院落花
86,松树千年终是朽，槿花一日自为荣,7,3,白居易《放言五首·其五》,松树活千年终究要死，槿木开花一天自觉荣耀
87,一道残阳铺水中，半江瑟瑟半江红,7,3,白居易《暮江吟》,第一句是：一道残阳铺水中
88,春蚕到死丝方尽，蜡炬成灰泪始干,7,3,李商隐《无题·相见时难别亦难》,第一句是：春蚕到死丝方尽
89,秦时明月汉时关，万里长征人未还,7,3,王昌龄《出塞》,第一句是：秦时明月汉时关
90,天街小雨润如酥，草色遥看近却无,7,3,韩愈《早春呈水部张十八员外》,第一句是：天街小雨润如酥
91,遇酒且呵呵，人生能几何,5,3,韦庄《菩萨蛮·劝君今夜须沉醉》,人生能有多长呢
92,出师未捷身先死，长使英雄泪满襟,7,3,杜甫《蜀相》,第一句是：出师未捷身先死
93,旧时王谢堂前燕，飞入寻常百姓家,7,3,刘禹锡《乌衣巷》,第一句是：旧时王谢堂前燕
94,南朝四百八十寺，多少楼台烟雨中,7,3,杜牧《江南春》,第一句是：南朝四百八十寺
95,衰兰送客咸阳道，天若有情天亦老,7,3,李贺《金铜仙人辞汉歌》,第一句是：衰兰送客咸阳道
96,十步杀一人，千里不留行,5,3,李白《侠客行》,十步可斩杀一人，千里之行，无人可挡
97,水不在深，有龙则灵,4,3,语出刘禹锡《陋室铭》,有龙的地方，水就会显灵
98,夫天地者万物之逆旅,4,3,李白《春夜宴从弟桃花园序》,天地是万物的客舍，光阴是古往今来的过客
99,曾与美人桥上别，恨无消息到今朝,7,3,刘禹锡《杨柳枝》,第一句是：曾与美人桥上别
100,宣父犹能畏后生，丈夫未可轻年少,7,3,李白《上李邕》,圣人都说后生可畏，大丈夫可不能轻视少年
101,人生不相见，动如参与商,5,3,杜甫《赠卫八处士》,第一句是：人生不相见
102,我醉欲眠卿且去，明朝有意抱琴来,7,3,李白《山中与幽人对酌》,第一句是：我醉欲眠卿且去
103,春江潮水连海平，海上明月共潮生,7,3,张若虚《春江花月夜》,第一句是：春江潮水连海平
104,尔曹身与名俱灭，不废江河万古流,7,3,杜甫《戏为六绝句·其二》,第一句是：尔曹身与名俱灭
105,自古逢秋悲寂寥，我言秋日胜春朝,7,3,刘禹锡《秋词二首·其一》,第一句是：自古逢秋悲寂寥
106,迟日江山丽，春风花草香,5,3,杜甫《绝句二首》,第一句是：迟日江山丽
107,垂死病中惊坐起，暗风吹雨入寒窗,7,3,元稹《闻乐天授江州司马》,第一句是：垂死病中惊坐起
108,光阴者百代之过客,4,3,语出李白《春夜宴从弟桃花园序》,形容人一生的时光极其短促
109,弃我去者，昨日之日不可留,6,3,李白《宣州谢朓楼饯别校书叔云》,弃我而去的昨天，早已不可挽留
110,今夜月明人尽望，不知秋思落谁家,7,3,王建《十五夜望月》,第一句是：今夜月明人尽望
111,绿蚁新醅酒，红泥小火炉,5,3,白居易《问刘十九》,新酿的米酒色绿香浓；小小红泥炉烧得殷红
112,草木有本心，何求美人折！,6,3,张九龄《感遇十二首·其一》,草木散发香气源于天性，怎么会求观赏者攀折
113,柴门闻犬吠，风雪夜归人,5,3,刘长卿《逢雪宿芙蓉山主人》,柴门外忽传来犬吠声，是有人冒着风雪归家
114,相恨不如潮有信，相思始觉海非深,7,3,白居易《浪淘沙·借问江潮与海水》,第一句是：相恨不如潮有信
115,明月出天山，苍茫云海间,5,3,李白《关山月》,一轮明月从祁连山升起，穿行在苍茫云海之间
116,千淘万漉虽辛苦，吹尽狂沙始到金,7,3,刘禹锡《浪淘沙·其八》,第一句是：千淘万漉虽辛苦
117,洛阳亲友如相问，一片冰心在玉壶,7,3,王昌龄《芙蓉楼送辛渐》,第一句是：洛阳亲友如相问
118,三更灯火五更鸡，正是男儿读书时,7,3,颜真卿《劝学》,第一句是：三更灯火五更鸡
119,美人卷珠帘，深坐蹙蛾眉,5,3,李白《怨情》,第一句是：美人卷珠帘
120,黑发不知勤学早，白首方悔读书迟,7,3,颜真卿《劝学》,第一句是：黑发不知勤学早
121,劝君更尽一杯酒，西出阳关无故人,7,3,王维《送元二使安西》,第一句是：劝君更尽一杯酒
122,去年花里逢君别，今日花开已一年,7,3,韦应物《寄李儋元锡》,第一句是：去年花里逢君别
123,嫦娥应悔偷灵药，碧海青天夜夜心,7,3,李商隐《嫦娥》,第一句是：嫦娥应悔偷灵药
124,春潮带雨晚来急，野渡无人舟自横,7,3,韦应物《滁州西涧》,第一句是：春潮带雨晚来急
125,大漠孤烟直，长河落日圆,5,3,王维《使至塞上》,浩瀚沙漠中孤烟直上云霄，黄河边上落日浑圆
126,落叶他乡树，寒灯独夜人,5,3,马戴《灞上秋居》,第一句是：落叶他乡树
127,远看山有色，近听水无声,5,3,王维《画》,远看高山色，走到近处却听不到水的声音
128,葡萄美酒夜光杯，欲饮琵琶马上催,7,3,王翰《凉州词》,第一句是：葡萄美酒夜光杯
129,天平山上白云泉，云自无心水自闲,7,3,白居易《白云泉》,第一句是：天平山上白云泉
130,青山隐隐水迢迢，秋尽江南草未凋,7,3,杜牧《寄扬州韩绰判官》,第一句是：青山隐隐水迢迢
131,试玉要烧三日满，辨材须待七年期,7,3,白居易《放言五首·其三》,第一句是：试玉要烧三日满
132,沧海月明珠有泪，蓝田日暖玉生烟,7,3,李商隐《锦瑟》,第一句是：沧海月明珠有泪
133,海内存知己，天涯若比邻,5,3,王勃《送杜少府之任蜀州》,第一句是：海内存知己
134,君问归期未有期，巴山夜雨涨秋池,7,3,李商隐《夜雨寄北》,第一句是：君问归期未有期
135,疾风知劲草，板荡识诚臣,5,3,李世民《赐萧瑀》,第一句是：疾风知劲草
136,可怜无定河边骨，犹是春闺梦里人,7,3,陈陶《陇西行四首》,第一句是：可怜无定河边骨
137,朔风如解意，容易莫摧残,5,3,崔道融《梅花》,第一句是：朔风如解意
138,近乡情更怯，不敢问来人,5,3,宋之问《渡汉江》,第一句是：近乡情更怯
139,一身转战三千里，一剑曾当百万师,7,3,王维《老将行》,第一句是：一身转战三千里
140,春心莫共花争发，一寸相思一寸灰！,8,3,李商隐《无题·飒飒东风细雨来》,第一句是：春心莫共花争发
141,羌笛何须怨杨柳，春风不度玉门关,7,3,王之涣《凉州词二首·其一》,第一句是：羌笛何须怨杨柳
142,兰陵美酒郁金香，玉碗盛来琥珀光,7,3,李白《客中作》,第一句是：兰陵美酒郁金香
143,为人性僻耽佳句，语不惊人死不休,7,3,杜甫《江上值水如海势聊短述》,第一句是：为人性僻耽佳句
144,千山鸟飞绝，万径人踪灭,5,3,柳宗元《江雪》,第一句是：千山鸟飞绝
145,会当凌绝顶，一览众山小,5,3,杜甫《望岳》,第一句是：会当凌绝顶
146,乱我心者，今日之日多烦忧,6,3,李白《宣州谢朓楼饯别校书叔云》,今天的忧愁乱我心情
147,故人西辞黄鹤楼，烟花三月下扬州,7,3,李白《黄鹤楼送孟浩然之广陵》,第一句是：故人西辞黄鹤楼
148,水晶帘动微风起，满架蔷薇一院香,7,3,高骈《山亭夏日》,第一句是：水晶帘动微风起
149,商女不知亡国恨，隔江犹唱后庭花,7,3,杜牧《泊秦淮》,第一句是：商女不知亡国恨
150,君知妾有夫，赠妾双明珠,5,3,张籍《节妇吟寄东平李司空师道》,第一句是：君知妾有夫
151,谁家玉笛暗飞声，散入春风满洛城,7,3,李白《春夜洛城闻笛》,这是从谁家飘出的悠扬笛声呢
152,逢人不说人间事，便是人间无事人,7,3,杜荀鹤《赠质上人》,第一句是：逢人不说人间事
153,因过竹院逢僧话，偷得浮生半日闲,7,3,李涉《题鹤林寺僧舍》,第一句是：因过竹院逢僧话
154,举杯邀明月，对影成三人,5,3,李白《月下独酌·其一》,第一句是：举杯邀明月
155,明月松间照，清泉石上流,5,3,王维《山居秋暝》,第一句是：明月松间照
156,妆罢低声问夫婿，画眉深浅入时无,7,3,朱庆馀《近试上张水部》,第一句是：妆罢低声问夫婿
157,诚知此恨人人有，贫贱夫妻百事哀,7,3,元稹《遣悲怀三首·其二》,第一句是：诚知此恨人人有
158,若待上林花似锦，出门俱是看花人,7,3,杨巨源《城东早春》,第一句是：若待上林花似锦
159,日暮苍山远，天寒白屋贫,5,3,刘长卿《逢雪宿芙蓉山主人》,第一句是：日暮苍山远
160,孤舟蓑笠翁，独钓寒江雪,5,3,柳宗元《江雪》,第一句是：孤舟蓑笠翁
161,惟有门前镜湖水，春风不改旧时波,7,3,贺知章《回乡偶书二首》,第一句是：惟有门前镜湖水
162,借问江潮与海水，何似君情与妾心？,8,3,白居易《浪淘沙·借问江潮与海水》,第一句是：借问江潮与海水
163,乱花渐欲迷人眼，浅草才能没马蹄,7,3,白居易《钱塘湖春行》,第一句是：乱花渐欲迷人眼
164,天阶夜色凉如水，卧看牵牛织女星,7,3,杜牧《秋夕》,第一句是：天阶夜色凉如水
165,忽如一夜春风来，千树万树梨花开,7,3,岑参《白雪歌送武判官归京》,第一句是：忽如一夜春风来
166,时来天地皆同力，运去英雄不自由,7,3,罗隐《筹笔驿》,第一句是：时来天地皆同力
167,江畔何人初见月？江月何年初照人？,8,3,张若虚《春江花月夜》,第一句是：江畔何人初见月？江月何年初照人？
168,我今因病魂颠倒，唯梦闲人不梦君,7,3,元稹《酬乐天频梦微之》,第一句是：我今因病魂颠倒
169,相思一夜梅花发，忽到窗前疑是君,7,3,卢仝《有所思》,第一句是：相思一夜梅花发
170,功名万里外，心事一杯中,5,3,高适《送李侍御赴安西》,第一句是：功名万里外
171,大漠沙如雪，燕山月似钩,5,3,李贺《马诗二十三首·其五》,平沙万里，在月光下像铺上一层白皑皑的霜雪
172,忽见陌头杨柳色，悔教夫婿觅封侯,7,3,王昌龄《闺怨》,第一句是：忽见陌头杨柳色
173,树深时见鹿，溪午不闻钟,5,3,李白《访戴天山道士不遇》,第一句是：树深时见鹿
174,但使龙城飞将在，不教胡马度阴山,7,3,王昌龄《出塞二首》,第一句是：但使龙城飞将在
175,过尽千帆皆不是，斜晖脉脉水悠悠,7,3,温庭筠《望江南·梳洗罢》,第一句是：过尽千帆皆不是
176,世界微尘里，吾宁爱与憎,5,3,李商隐《北青萝》,大千世界俱是微尘，我还谈什么爱和恨呢
177,花径不曾缘客扫，蓬门今始为君开,7,3,杜甫《客至》,第一句是：花径不曾缘客扫
178,桐花万里丹山路，雏凤清于老凤声,7,3,李商隐称赞韩偓的诗,第一句是：桐花万里丹山路
179,平生不下泪，于此泣无穷,5,3,李白《江夏别宋之悌》,我的一生从未流过泪，现在却在这里泣涕不止
180,花开堪折直须折，莫待无花空折枝,7,3,佚名《金缕衣》,第一句是：花开堪折直须折
181,天下三分明月夜，二分无赖是扬州,7,3,徐凝《忆扬州》,第一句是：天下三分明月夜
182,两个黄鹂鸣翠柳，一行白鹭上青天,7,3,杜甫《绝句》,第一句是：两个黄鹂鸣翠柳
183,银烛秋光冷画屏，轻罗小扇扑流萤,7,3,杜牧《秋夕》,第一句是：银烛秋光冷画屏
184,宁为百夫长，胜作一书生,5,3,杨炯《从军行》,第一句是：宁为百夫长
185,我本楚狂人，凤歌笑孔丘,5,3,李白《庐山谣寄卢侍御虚舟》,第一句是：我本楚狂人
186,孤灯不明思欲绝，卷帷望月空长叹,7,3,李白《长相思·其一》,第一句是：孤灯不明思欲绝
187,易求无价宝，难得有心郎,5,3,鱼玄机《赠邻女》,无价之宝容易求得，而有情的郎君难以找到
188,江东子弟多才俊，卷土重来未可知,7,3,杜牧《题乌江亭》,第一句是：江东子弟多才俊
189,天子呼来不上船，自称臣是酒中仙,7,3,杜甫《饮中八仙歌》,第一句是：天子呼来不上船
190,鸟宿池边树，僧敲月下门,5,3,贾岛《题李凝幽居》,第一句是：鸟宿池边树
191,我寄愁心与明月，随君直到夜郎西,7,3,李白《闻王昌龄左迁龙标遥有此寄》,第一句是：我寄愁心与明月
192,我未成名卿未嫁，可能俱是不如人,7,3,罗隐《赠妓云英》,第一句是：我未成名卿未嫁
193,昆山玉碎凤凰叫，芙蓉泣露香兰笑,7,3,李贺《李凭箜篌引》,第一句是：昆山玉碎凤凰叫
194,得成比目何辞死，愿作鸳鸯不羡仙,7,3,卢照邻《长安古意》,第一句是：得成比目何辞死
195,江流天地外，山色有无中,5,3,王维《汉江临泛》,第一句是：江流天地外
196,日暮酒醒人已远，满天风雨下西楼,7,3,许浑《谢亭送别》,第一句是：日暮酒醒人已远
197,好雨知时节，当春乃发生,5,3,杜甫《春夜喜雨》,第一句是：好雨知时节
198,穷且益坚，不坠青云之志,5,3,王勃《滕王阁序》,第一句是：穷且益坚
199,青海长云暗雪山，孤城遥望玉门关,7,3,王昌龄《从军行七首·其四》,青海湖上乌云密布，遮得雪山一片黯淡
200,日色欲尽花含烟，月明如素愁不眠,7,3,李白《长相思·其二》,第一句是：日色欲尽花含烟
201,世事浮云何足问，不如高卧且加餐,7,3,王维《酌酒与裴迪》,第一句是：世事浮云何足问
202,相看两不厌，只有敬亭山,5,3,李白《独坐敬亭山》,第一句是：相看两不厌
203,郎骑竹马来，绕床弄青梅,5,3,李白《长干行二首》,第一句是：郎骑竹马来
204,白雪却嫌春色晚，故穿庭树作飞花,7,3,韩愈《春雪》,第一句是：白雪却嫌春色晚
205,漠漠水田飞白鹭，阴阴夏木啭黄鹂,7,3,王维《积雨辋川庄作》,第一句是：漠漠水田飞白鹭
206,人生得意须尽欢，莫使金樽空对月,7,3,李白《将进酒》,第一句是：人生得意须尽欢
207,惟将终夜长开眼，报答平生未展眉,7,3,元稹《遣悲怀三首·其三》,第一句是：惟将终夜长开眼
208,秋风生渭水，落叶满长安,5,3,贾岛《忆江上吴处士》,秋风吹拂着渭水，残叶飘洒落满了都城长安
209,离离原上草，一岁一枯荣,5,3,白居易《赋得古原草送别》,第一句是：离离原上草
210,浮云游子意，落日故人情,5,3,李白《送友人》,第一句是：浮云游子意
211,少年辛苦终身事，莫向光阴惰寸功,7,3,杜荀鹤《题弟侄书堂》,第一句是：少年辛苦终身事
212,西塞山前白鹭飞，桃花流水鳜鱼肥,7,3,张志和《渔歌子·西塞山前白鹭飞》,第一句是：西塞山前白鹭飞
213,停车坐爱枫林晚，霜叶红于二月花,7,3,杜牧《山行》,第一句是：停车坐爱枫林晚
214,曲终人不见，江上数峰青,5,3,钱起《省试湘灵鼓瑟》,第一句是：曲终人不见
215,春城无处不飞花，寒食东风御柳斜,7,3,韩翃《寒食》,第一句是：春城无处不飞花
216,黄河远上白云间，一片孤城万仞山,7,3,王之涣《凉州词二首·其一》,第一句是：黄河远上白云间
217,斑竹枝，斑竹枝，泪痕点点寄相思,7,3,刘禹锡《潇湘神·斑竹枝》,斑竹枝啊斑竹枝，泪痕点点寄托着相思
218,墙头马上遥相顾，一见知君即断肠,7,3,白居易《井底引银瓶·止淫奔也》,第一句是：墙头马上遥相顾
219,事了拂衣去，深藏身与名,5,3,李白《侠客行》,大事做成后，拂袖而去将功劳和美名隐藏起来
220,此曲只应天上有，人间能得几回闻,7,3,杜甫《赠花卿》,第一句是：此曲只应天上有
221,正是江南好风景，落花时节又逢君,7,3,杜甫《江南逢李龟年》,第一句是：正是江南好风景
222,日出江花红胜火，春来江水绿如蓝,7,3,白居易《忆江南》,第一句是：日出江花红胜火
223,而浮生若梦，为欢几何？,5,3,李白《春夜宴从弟桃花园序》,第一句是：而浮生若梦
224,故人入我梦，明我长相忆,5,3,杜甫《梦李白二首·其一》,老朋友来到我梦里，因为知道我常想起你
225,乱山残雪夜，孤烛异乡人,5,3,崔涂《巴山道中除夜书怀》,第一句是：乱山残雪夜
226,六出飞花入户时，坐看青竹变琼枝,7,3,高骈《对雪》,第一句是：六出飞花入户时
227,少年心事当拏云，谁念幽寒坐呜呃,7,3,李贺《致酒行》,第一句是：少年心事当拏云
228,情人怨遥夜，竟夕起相思,5,3,张九龄《望月怀远》,多情的人怨恨月夜漫长，整夜里不眠而的怀想
229,两人对酌山花开，一杯一杯复一杯,7,3,李白《山中与幽人对酌》,第一句是：两人对酌山花开
230,冲天香阵透长安，满城尽带黄金甲,7,3,黄巢《不第后赋菊》,第一句是：冲天香阵透长安
231,千里莺啼绿映红，水村山郭酒旗风,7,3,杜牧《江南春》,第一句是：千里莺啼绿映红
232,山随平野尽，江入大荒流,5,3,李白《渡荆门送别》,第一句是：山随平野尽
233,唯有牡丹真国色，花开时节动京城,7,3,刘禹锡《赏牡丹》,第一句是：唯有牡丹真国色
234,感时花溅泪，恨别鸟惊心,5,3,杜甫《春望》,第一句是：感时花溅泪
235,忆君心似西江水，日夜东流无歇时,7,3,鱼玄机《江陵愁望寄子安》,第一句是：忆君心似西江水
236,无论去与住，俱是梦中人,5,3,王勃《别薛华》,第一句是：无论去与住
237,人世几回伤往事，山形依旧枕寒流,7,3,刘禹锡《西塞山怀古》,第一句是：人世几回伤往事
238,长安一片月，万户捣衣声,5,3,李白《子夜吴歌·秋歌》,第一句是：长安一片月
239,绿树阴浓夏日长，楼台倒影入池塘,7,3,高骈《山亭夏日》,绿树葱郁郁夏日漫长，楼台的倒影映入池塘
240,荷叶罗裙一色裁，芙蓉向脸两边开,7,3,王昌龄《采莲曲》,第一句是：荷叶罗裙一色裁
241,安能摧眉折腰事权贵,4,3,李白《梦游天姥吟留别》,第一句是：安能摧眉折腰事权贵
242,借问梅花何处落，风吹一夜满关山,7,3,高适《塞上听吹笛》,试问饱含离情的《梅花曲》飘向何处
243,黑云压城城欲摧，甲光向日金鳞开,7,3,李贺《雁门太守行》,第一句是：黑云压城城欲摧
244,无情最是台城柳，依旧烟笼十里堤,7,3,韦庄《台城》,第一句是：无情最是台城柳
245,富贵必从勤苦得，男儿须读五车书,7,3,杜甫《柏学士茅屋》,第一句是：富贵必从勤苦得
246,长恨人心不如水，等闲平地起波澜,7,3,刘禹锡《竹枝词九首》,第一句是：长恨人心不如水
247,九天阊阖开宫殿，万国衣冠拜冕旒,7,3,王维《和贾舍人早朝大明宫之作》,第一句是：九天阊阖开宫殿
248,飘飘何所似，天地一沙鸥,5,3,杜甫《旅夜书怀》,如今到处漂泊像什么呢
249,数声风笛离亭晚，君向潇湘我向秦,7,3,郑谷《淮上与友人别》,第一句是：数声风笛离亭晚
250,解落三秋叶，能开二月花,5,3,李峤《风》,风能吹落秋天的树叶，能吹开春天美丽的鲜花
251,渭城朝雨浥轻尘，客舍青青柳色新,7,3,王维《送元二使安西》,第一句是：渭城朝雨浥轻尘
252,掬水月在手，弄花香满衣,5,3,于良史《春山夜月》,第一句是：掬水月在手
